table_name,column_name,data_type,is_nullable
Fuel_Logs,Log_ID,text,NO
Fuel_Logs,Date_Time,text,YES
Fuel_Logs,Driver_ID,text,YES
Fuel_Logs,Vehicle_Plate,text,YES
Fuel_Logs,Odometer,numeric,YES
Fuel_Logs,Liters,numeric,YES
Fuel_Logs,Price_Total,numeric,YES
Fuel_Logs,Station_Name,text,YES
Fuel_Logs,Photo_Url,text,YES
Fuel_Logs,Branch_ID,text,YES
Jobs_Main,Job_ID,text,NO
Jobs_Main,Job_Status,text,YES
Jobs_Main,Plan_Date,date,YES
Jobs_Main,Customer_ID,text,YES
Jobs_Main,Customer_Name,text,YES
Jobs_Main,Route_Name,text,YES
Jobs_Main,Vehicle_Type,text,YES
Jobs_Main,Cargo_Qty,text,YES
Jobs_Main,Origin_Location,text,YES
Jobs_Main,Dest_Location,text,YES
Jobs_Main,Est_Distance_KM,double precision,YES
Jobs_Main,GoogleMap_Link,text,YES
Jobs_Main,Driver_ID,text,YES
Jobs_Main,Driver_Name,text,YES
Jobs_Main,Vehicle_Plate,text,YES
Jobs_Main,Actual_Pickup_Time,time without time zone,YES
Jobs_Main,Actual_Delivery_Time,time without time zone,YES
Jobs_Main,Arrive_Dest_Time,time without time zone,YES
Jobs_Main,Photo_Proof_Url,text,YES
Jobs_Main,Signature_Url,text,YES
Jobs_Main,Delivery_Lat,text,YES
Jobs_Main,Delivery_Lon,text,YES
Jobs_Main,Price_Cust_Base,numeric,YES
Jobs_Main,Price_Cust_Extra,numeric,YES
Jobs_Main,Charge_Labor,numeric,YES
Jobs_Main,Charge_Wait,numeric,YES
Jobs_Main,Price_Cust_Return,numeric,YES
Jobs_Main,Price_Cust_Fuel,numeric,YES
Jobs_Main,Price_Cust_Trailer,numeric,YES
Jobs_Main,Price_Cust_Other,numeric,YES
Jobs_Main,Price_Cust_Total,numeric,YES
Jobs_Main,Cost_Driver_Base,numeric,YES
Jobs_Main,Cost_Driver_Extra,numeric,YES
Jobs_Main,Cost_Driver_Labor,numeric,YES
Jobs_Main,Cost_Driver_Wait,numeric,YES
Jobs_Main,Cost_Driver_Return,numeric,YES
Jobs_Main,Cost_Driver_Fuel,numeric,YES
Jobs_Main,Cost_Driver_Trailer,numeric,YES
Jobs_Main,Cost_Driver_Other,numeric,YES
Jobs_Main,Cost_Driver_Total,numeric,YES
Jobs_Main,Payment_Status,text,YES
Jobs_Main,Failed_Reason,text,YES
Jobs_Main,Failed_Time,time without time zone,YES
Jobs_Main,Rating,text,YES
Jobs_Main,Customer_Comment,text,YES
Jobs_Main,Barcodes,text,YES
Jobs_Main,Payment_Date,date,YES
Jobs_Main,Payment_Slip_Url,text,YES
Jobs_Main,Billing_Status,text,YES
Jobs_Main,Invoice_No,text,YES
Jobs_Main,Billing_Date,date,YES
Jobs_Main,Branch_ID,text,YES
Jobs_Main,Total_Drop,bigint,YES
Jobs_Main,Created_At,text,YES
Jobs_Main,lat,double precision,YES
Jobs_Main,lon,double precision,YES
Jobs_Main,Expire_Date,date,YES
Maintenance_Logs,Log_ID,text,NO
Maintenance_Logs,Date_Service,text,YES
Maintenance_Logs,Vehicle_Plate,text,YES
Maintenance_Logs,Service_Type,text,YES
Maintenance_Logs,Odometer,numeric,YES
Maintenance_Logs,Next_Due_Odometer,numeric,YES
Maintenance_Logs,Notes,text,YES
Master_Customers,Customer_ID,text,NO
Master_Customers,Customer_Name,text,YES
Master_Customers,Default_Origin,text,YES
Master_Customers,Contact_Person,text,YES
Master_Customers,Phone,text,YES
Master_Customers,Address,text,YES
Master_Customers,Tax_ID,text,YES
Master_Customers,Branch_ID,text,YES
Master_Customers,lat,text,YES
Master_Customers,lon,text,YES
Master_Customers,GoogleMap_Link,text,YES
Master_Customers,Expire_Date,text,YES
Master_Drivers,Driver_ID,text,NO
Master_Drivers,Driver_Name,text,YES
Master_Drivers,Role,text,YES
Master_Drivers,Mobile_No,text,YES
Master_Drivers,Line_User_ID,text,YES
Master_Drivers,Password,text,YES
Master_Drivers,Vehicle_Plate,text,YES
Master_Drivers,Vehicle_Type,text,YES
Master_Drivers,Max_Weight_kg,numeric,YES
Master_Drivers,Max_Volume_cbm,numeric,YES
Master_Drivers,Insurance_Expiry,text,YES
Master_Drivers,Tax_Expiry,text,YES
Master_Drivers,Act_Expiry,text,YES
Master_Drivers,Current_Mileage,numeric,YES